disease	hpo
OMIM_610910	HP_0003587,HP_0025044,HP_0006517,HP_0030049,HP_0020050,HP_0002094,HP_0012735,HP_0012418,HP_0002090,HP_0031996,HP_0002091,HP_0045051,HP_0001217,HP_0100749,HP_0000961,HP_0003745,HP_0002205,HP_0002105
OMIM_242050	HP_0000924,HP_0000007,HP_0002150,HP_0003537
OMIM_204730	HP_0003510,HP_0000939,HP_0003355,HP_0003560,HP_0000007,HP_0001249,HP_0001941
OMIM_617874	HP_0000107,HP_0001407,HP_0000006
OMIM_601596	HP_0010628,HP_0003431,HP_0000365,HP_0004466,HP_0003693,HP_0002460,HP_0003593,HP_0001270,HP_0001291,HP_0012473,HP_0000639,HP_0011463,HP_0040078,HP_0002936,HP_0001308,HP_0003701,HP_0007107,HP_0001765,HP_0003400,HP_0002355,HP_0003621,HP_0003387,HP_0002650,HP_0001762,HP_0001761,HP_0003484,HP_0034347,HP_0007695,HP_0000007,HP_0000764
OMIM_615994	HP_0003774,HP_0007737,HP_0003577,HP_0001696,HP_0001156,HP_0001651,HP_0010442,HP_0100543,HP_0000458,HP_0007401,HP_0006159,HP_0000510,HP_0000135,HP_0001249,HP_0000054,HP_0001162,HP_0001263,HP_0002370,HP_0100260,HP_0001959,HP_0000107,HP_0000007,HP_0000546,HP_0004409,HP_0000505,HP_0000548,HP_0001830,HP_0000103,HP_0001513,HP_0004689
OMIM_145800	HP_0008981,HP_0000006
OMIM_619913	HP_0002421,HP_0002069,HP_0002521,HP_0002188,HP_0002384,HP_0002121,HP_0001252,HP_0003593,HP_0001251,HP_0032794,HP_0002381,HP_0010864,HP_0031491,HP_0100702,HP_0000752,HP_0000256,HP_0001249,HP_0003623,HP_0002179,HP_0002510,HP_0000211,HP_0001344,HP_0025097,HP_0011968,HP_0010819,HP_0010851,HP_0002392,HP_0011344,HP_0011097,HP_0032670,HP_0032792,HP_0000729,HP_0200134,HP_0002307,HP_0000006
OMIM_614432	HP_0003577,HP_0001629,HP_0001643,HP_0001631,HP_0000006,HP_0004415
OMIM_620070	HP_0000286,HP_0002069,HP_0004322,HP_0002187,HP_0001252,HP_0002020,HP_0032794,HP_0045075,HP_0011220,HP_0000637,HP_0001522,HP_0001763,HP_0002510,HP_0001344,HP_0002870,HP_0011968,HP_0000490,HP_0001263,HP_0011800,HP_0100021,HP_0001182,HP_0011003,HP_0034353,HP_0002509,HP_0001698,HP_0000006,HP_0000341,HP_0000582,HP_0003577,HP_0030674,HP_0002360,HP_0000020,HP_0002280,HP_0012444,HP_0009085,HP_0000337,HP_0002714,HP_0000218,HP_0000653,HP_0001320,HP_0000670,HP_0001561,HP_0000431,HP_0011625,HP_0001838,HP_0033044,HP_0000348,HP_0001558,HP_0001631,HP_0000347,HP_0004942
OMIM_235400	HP_0005356,HP_0001250,HP_0003077,HP_0005575,HP_0002381,HP_0100543,HP_0000979,HP_0001923,HP_0001945,HP_0001269,HP_0002014,HP_0005369,HP_0001981,HP_0005421,HP_0001919,HP_0001937,HP_0000822,HP_0000007,HP_0100519,HP_0001873,HP_0000006,HP_0003138,HP_0003259,HP_0005416,HP_0001259
OMIM_613255	HP_0031318,HP_0003596,HP_0031319,HP_0003584,HP_0034313,HP_0031992,HP_0002092,HP_0001639,HP_0001635,HP_0006685,HP_0000006,HP_0032092,HP_0002875
OMIM_273400	HP_0000164,HP_0001792,HP_0000464,HP_0002353,HP_0003057,HP_0003355,HP_0011675,HP_0008070,HP_0100853,HP_0000968,HP_0000007,HP_0000579,HP_0002557,HP_0000135,HP_0000377,HP_0000204,HP_0001249
OMIM_618252	HP_0001250,HP_0001508,HP_0002151,HP_0003593,HP_0002490,HP_0001290,HP_0000007,HP_0002093,HP_0001942
OMIM_618660	HP_0000518,HP_0002904,HP_0000007,HP_0004814
OMIM_129490	HP_0002213,HP_0002046,HP_0000691,HP_0045075,HP_0008070,HP_0000958,HP_0000968,HP_0001807,HP_0000668,HP_0000966,HP_0000653,HP_0000674,HP_0002217,HP_0000006
OMIM_619825	HP_0003596,HP_0002650,HP_0004970,HP_0003584,HP_0001519,HP_0011462,HP_0002616,HP_0001647,HP_0000767,HP_0000316,HP_0002108,HP_0001659,HP_0000218,HP_0006510,HP_0004933,HP_0000006,HP_0001369
OMIM_612075	HP_0002344,HP_0003676,HP_0003577,HP_0003355,HP_0001250,HP_0002066,HP_0001252,HP_0001290,HP_0001508,HP_0001824,HP_0000114,HP_0001249,HP_0003623,HP_0003128,HP_0002014,HP_0008936,HP_0002133,HP_0002013,HP_0002098,HP_0011968,HP_0002490,HP_0000007,HP_0008347,HP_0004900,HP_0000544,HP_0004326
OMIM_611962	HP_0000341,HP_0000582,HP_0006824,HP_0000023,HP_0004322,HP_0000581,HP_0012745,HP_0000239,HP_0001647,HP_0002858,HP_0000219,HP_0001643,HP_0002656,HP_0001840,HP_0000472,HP_0002650,HP_0002750,HP_0003088,HP_0000270,HP_0000272,HP_0004691,HP_0011800,HP_0012385,HP_0010584,HP_0000407,HP_0009473,HP_0000508,HP_0000822,HP_0001537,HP_0000348,HP_0000405,HP_0000768,HP_0001659,HP_0002967,HP_0004209,HP_0000047,HP_0000322,HP_0001653,HP_0000006,HP_0000248,HP_0000545,HP_0001634
OMIM_137763	HP_0010535
OMIM_600093	HP_0000252,HP_0000431,HP_0001263,HP_0000007,HP_0005715,HP_0000455,HP_0000179,HP_0000322,HP_0000289,HP_0000215,HP_0002655
OMIM_618662	HP_0002014,HP_0011473,HP_0000007
OMIM_612389	HP_0002169,HP_0003577,HP_0000340,HP_0001332,HP_0002365,HP_0001272,HP_0001250,HP_0001252,HP_0032794,HP_0100704,HP_0000954,HP_0002119,HP_0001522,HP_0008936,HP_0001320,HP_0002179,HP_0000253,HP_0002059,HP_0002015,HP_0007308,HP_0000252,HP_0001561,HP_0003487,HP_0001321,HP_0002079,HP_0011968,HP_0002033,HP_0002072,HP_0003819,HP_0032792,HP_0002509,HP_0000007,HP_0000505,HP_0001257,HP_0009879
OMIM_604233	HP_0002069,HP_0002373,HP_0002121,HP_0010819,HP_0003829,HP_0000006
OMIM_601319	HP_0008383,HP_0001816,HP_0000007,HP_0006337,HP_0001799
OMIM_607665	HP_0000099,HP_0012121,HP_0012220,HP_0000153,HP_0012122,HP_0004729,HP_0000554,HP_0003745,HP_0012224,HP_0004713,HP_0003259
OMIM_180295	HP_0030983,HP_0100528,HP_0025388,HP_0002667,HP_0006743,HP_0000853,HP_0005987
OMIM_603116	HP_0000143,HP_0003577,HP_0002023,HP_0004443,HP_0004442,HP_0004440,HP_0045075,HP_0000239,HP_0000656,HP_0200044,HP_0000653,HP_0000894,HP_0000773,HP_0000175,HP_0002697,HP_0000270,HP_0001263,HP_0000272,HP_0011800,HP_0002808,HP_0000407,HP_0000508,HP_0002209,HP_0000007,HP_0002007,HP_0000047,HP_0000248,HP_0025407
OMIM_614990	HP_0003577,HP_0001751,HP_0000007,HP_0001270,HP_0000510
OMIM_248190	HP_0000121,HP_0000010,HP_0005567,HP_0000483,HP_0000486,HP_0012608,HP_0002150,HP_0012637,HP_0012622,HP_0000639,HP_0002917,HP_0000705,HP_0000007,HP_0000510,HP_0000545,HP_0000787,HP_0001116
OMIM_127550	HP_0001596,HP_0001251,HP_0001394,HP_0008070,HP_0000939,HP_0001903,HP_0001807,HP_0001328,HP_0001888,HP_0002639,HP_0001803,HP_0007588,HP_0005528,HP_0002216,HP_0006515,HP_0000670,HP_0004334,HP_0001321,HP_0001882,HP_0006739,HP_0002094,HP_0006480,HP_0001915,HP_0002605,HP_0005518,HP_0008404,HP_0002745,HP_0002206,HP_0001873,HP_0000006,HP_0002863
OMIM_614262	HP_0025331,HP_0005743,HP_0003577,HP_0001047,HP_0002021,HP_0000293,HP_0002099,HP_0012385,HP_0001629,HP_0001845,HP_0000007,HP_0002804,HP_0001631,HP_0001642
OMIM_615274	HP_0100018,HP_0000518,HP_0100019,HP_0000519,HP_0007971,HP_0000006
OMIM_607850	HP_0001387,HP_0002829,HP_0006233,HP_0002758,HP_0006226,HP_0000006
OMIM_141200	HP_0000790,HP_0003680,HP_0012577,HP_0000006
OMIM_108450	HP_0000540,HP_0008929,HP_0002949,HP_0000678,HP_0000444,HP_0000565,HP_0002007,HP_0004626,HP_0000347,HP_0200053,HP_0000006
OMIM_603472	HP_0001265,HP_0003431,HP_0001288,HP_0001250,HP_0001260,HP_0002352,HP_0003474,HP_0002572,HP_0002063,HP_0000020,HP_0001251,HP_0012229,HP_0000708,HP_0100543,HP_0007185,HP_0000726,HP_0000616,HP_0002119,HP_0001324,HP_0003448,HP_0001279,HP_0000006,HP_0001337,HP_0003403
OMIM_268700	HP_0001264,HP_0002353,HP_0004322,HP_0003297,HP_0002927,HP_0032397,HP_0000007,HP_0034026,HP_0034028,HP_0001249
