disease	hpo
OMIM_619376	HP_0000286,HP_0003577,HP_0005830,HP_0030674,HP_0001791,HP_0001252,HP_0002020,HP_0001508,HP_0008551,HP_0012450,HP_0000316,HP_0001800,HP_0008872,HP_0000414,HP_0000219,HP_0000637,HP_0000378,HP_0001763,HP_0008439,HP_0002015,HP_0000494,HP_0000175,HP_0000430,HP_0001382,HP_0000490,HP_0400004,HP_0011229,HP_0010314,HP_0011451,HP_0000729,HP_0002209,HP_0001319,HP_0007697,HP_0000405,HP_0000823,HP_0001357,HP_0001511,HP_0002007,HP_0000347,HP_0000369,HP_0000028,HP_0000006
OMIM_602068	HP_0007408,HP_0000007
OMIM_618145	HP_0003621,HP_0000408,HP_0011463,HP_0000007
OMIM_129200	HP_0001056,HP_0001056,HP_0001034,HP_0030044,HP_0010621,HP_0025092,HP_0031045,HP_0032541,HP_0001182,HP_0034012,HP_0034012,HP_0000968,HP_0000954,HP_0007455,HP_0008404,HP_0000982,HP_0000006,HP_0003623
OMIM_618242	HP_0002465,HP_0002355,HP_0000486,HP_0003200,HP_0003487,HP_0003198,HP_0002352,HP_0002121,HP_0001260,HP_0001263,HP_0001251,HP_0002490,HP_0002194,HP_0011923,HP_0000639,HP_0011463,HP_0001317,HP_0000007,HP_0001257,HP_0002415,HP_0001510,HP_0001347
OMIM_616007	HP_0002663,HP_0001374,HP_0000486,HP_0004322,HP_0003311,HP_0001371,HP_0000160,HP_0003196,HP_0001252,HP_0001097,HP_0003593,HP_0011734,HP_0000639,HP_0000518,HP_0011220,HP_0000238,HP_0002936,HP_0003307,HP_0002857,HP_0001763,HP_0001265,HP_0000574,HP_0001382,HP_0000490,HP_0001263,HP_0011800,HP_0001182,HP_0100585,HP_0000407,HP_0002827,HP_0000007,HP_0008445,HP_0000763,HP_0000565,HP_0003015,HP_0008826,HP_0002521,HP_0003577,HP_0000343,HP_0000540,HP_0001156,HP_0002120,HP_0001270,HP_0010306,HP_0007141,HP_0007021,HP_0000938,HP_0001943,HP_0001029,HP_0001623,HP_0002677,HP_0003026,HP_0000233,HP_0002650,HP_0000430,HP_0002651,HP_0003025,HP_0002571,HP_0005280,HP_0100876,HP_0000508,HP_0009830,HP_0000824,HP_0003417,HP_0003416,HP_0001510,HP_0000347,HP_0000303,HP_0000666,HP_0004425
OMIM_610279	HP_0002342,HP_0001250,HP_0000506,HP_0000316,HP_0000007,HP_0000565,HP_0001302
OMIM_601780	HP_0002333,HP_0001311,HP_0000529,HP_0001250,HP_0002074,HP_0000007,HP_0000546,HP_0003208,HP_0003205
OMIM_219070	HP_0008393,HP_0009882,HP_0001812,HP_0000007
OMIM_118650	HP_0001762,HP_0002650,HP_0003273,HP_0008070,HP_0010655,HP_0007390,HP_0006380,HP_0011892,HP_0000518,HP_0002208,HP_0002007,HP_0008855,HP_0000006,HP_0004646
OMIM_614728	HP_0003577,HP_0000750,HP_0004322,HP_0011451,HP_0000007,HP_0001249
OMIM_619044	HP_0003251,HP_0000007,HP_0012207,HP_0012869
OMIM_601668	HP_0003015,HP_0006429,HP_0003071,HP_0010585,HP_0006290,HP_0100864,HP_0009183,HP_0003508,HP_0002857,HP_0000677,HP_0000951,HP_0003301,HP_0006339,HP_0002651,HP_0003025,HP_0000592,HP_0001182,HP_0010584,HP_0000707,HP_0000926,HP_0000007,HP_0002868,HP_0006304,HP_0001238
OMIM_235730	HP_0025100,HP_0000684,HP_0004961,HP_0000486,HP_0004322,HP_0001250,HP_0002021,HP_0001252,HP_0000482,HP_0004362,HP_0001290,HP_0001290,HP_0003270,HP_0012429,HP_0000518,HP_0000316,HP_0007048,HP_0001643,HP_0002019,HP_0001642,HP_0009748,HP_0000176,HP_0000494,HP_0003720,HP_0000252,HP_0000692,HP_0000175,HP_0001344,HP_0002079,HP_0000490,HP_0000767,HP_0000403,HP_0000568,HP_0002307,HP_0000768,HP_0000048,HP_0000565,HP_0000047,HP_0000047,HP_0000006,HP_0000567,HP_0000687,HP_0009918,HP_0001274,HP_0001273,HP_0005274,HP_0001270,HP_0040082,HP_0010864,HP_0001629,HP_0012372,HP_0000612,HP_0001627,HP_0002119,HP_0009765,HP_0000378,HP_0002558,HP_0004415,HP_0000077,HP_0000750,HP_0000431,HP_0002013,HP_0000078,HP_0002251,HP_0009909,HP_0011229,HP_0000508,HP_0000307,HP_0001631,HP_0000028,HP_0000028
OMIM_601277	HP_0003577,HP_0000007,HP_0000656,HP_0001217,HP_0001258,HP_0007479,HP_0001433,HP_0000982,HP_0001820
OMIM_118400	HP_0001133,HP_0003621,HP_0000189,HP_0030793,HP_0001571,HP_0030802,HP_0009085,HP_0033176,HP_0011463,HP_0011462,HP_0007663,HP_0000689,HP_0000505,HP_0200057,HP_0200056,HP_0000311,HP_0000520,HP_0000006,HP_0000677,HP_0001138
OMIM_613681	HP_0001199,HP_0011939,HP_0003577,HP_0001762,HP_0004322,HP_0011463,HP_0012043,HP_0009777,HP_0009778,HP_0000006
OMIM_616214	HP_0003074,HP_0000842,HP_0000006
OMIM_211910	HP_0000286,HP_0001770,HP_0003038,HP_0001773,HP_0005456,HP_0004322,HP_0001250,HP_0000160,HP_0000482,HP_0003196,HP_0012745,HP_0002938,HP_0000316,HP_0000358,HP_0001249,HP_0000995,HP_0000252,HP_0002750,HP_0003440,HP_0004453,HP_0011800,HP_0000767,HP_0000007,HP_0000689,HP_0000768,HP_0000960,HP_0002866,HP_0000248,HP_0000369,HP_0001215,HP_0006668,HP_0000385,HP_0000582,HP_0000463,HP_0001156,HP_0003298,HP_0000581,HP_0003691,HP_0012368,HP_0010743,HP_0100864,HP_0006292,HP_0008551,HP_0001822,HP_0000218,HP_0002714,HP_0000472,HP_0004279,HP_0000193,HP_0000272,HP_0005280,HP_0000506,HP_0006166,HP_0008424,HP_0002967,HP_0000664,HP_0001511,HP_0002645,HP_0002688
OMIM_244850	HP_0011370,HP_0000007,HP_0200034,HP_0000982,HP_0000962
OMIM_611953	HP_0000608,HP_0010982
OMIM_614820	HP_0002301,HP_0002133,HP_0000496,HP_0001266,HP_0001332,HP_0001250,HP_0001260,HP_0001263,HP_0001251,HP_0200072,HP_0000639,HP_0001268,HP_0000006,HP_0002445,HP_0001249
OMIM_619531	HP_0003621,HP_0030631,HP_0025159,HP_0030629,HP_0030825,HP_0011504,HP_0030844,HP_0011462,HP_0000613,HP_0000007,HP_0007663,HP_0007722,HP_0007843
OMIM_615481	HP_0012265,HP_0002257,HP_0001696,HP_0002110,HP_0012263,HP_0000789,HP_0033036,HP_0000007,HP_0000403,HP_0006510,HP_0011108,HP_0002643
OMIM_114900	HP_0000006,HP_0006723
OMIM_300934	HP_0003642,HP_0000154,HP_0003577,HP_0000252,HP_0002650,HP_0000486,HP_0002079,HP_0011968,HP_0002098,HP_0001250,HP_0000490,HP_0001263,HP_0001252,HP_0001373,HP_0001290,HP_0001508,HP_0001419,HP_0001928,HP_0030084,HP_0000400,HP_0000047,HP_0001249,HP_0000347,HP_0000687
OMIM_301045	HP_0001397,HP_0004313,HP_0001410,HP_0001541,HP_0002240,HP_0003593,HP_0012301,HP_0032218,HP_0002719,HP_0001419,HP_0002910,HP_0000047,HP_0000952,HP_0000347,HP_0000369,HP_0000973,HP_0001413
OMIM_609741	HP_0100018,HP_0000519,HP_0000007,HP_0000501,HP_0000006
OMIM_602501	HP_0000286,HP_0002389,HP_0001355,HP_0001250,HP_0001252,HP_0100790,HP_0001290,HP_0004481,HP_0010442,HP_0001909,HP_0001629,HP_0000319,HP_0000316,HP_0001548,HP_0002858,HP_0000238,HP_0000337,HP_0002119,HP_0001428,HP_0003745,HP_0001249,HP_0009748,HP_0000494,HP_0001388,HP_0001263,HP_0005280,HP_0000965,HP_0000568,HP_0001159,HP_0002667,HP_0002126
OMIM_312780	HP_0000957,HP_0001417,HP_0001511,HP_0000325
OMIM_615127	HP_0002069,HP_0001250,HP_0003680,HP_0001340,HP_0001351,HP_0000006,HP_0001337,HP_0001336
OMIM_611307	HP_0003236,HP_0003676,HP_0010628,HP_0003560,HP_0008981,HP_0003828,HP_0009025,HP_0003749,HP_0000007,HP_0003547,HP_0003701,HP_0003326,HP_0003458
OMIM_616326	HP_0003577,HP_0001252,HP_0003391,HP_0001508,HP_0009046,HP_0000218,HP_0003403,HP_0003324,HP_0000276,HP_0003388,HP_0011968,HP_0011947,HP_0002033,HP_0033454,HP_0002093,HP_0012378,HP_0030208,HP_0000508,HP_0001558,HP_0000007,HP_0002804,HP_0001319,HP_0002527,HP_0001612,HP_0002643
OMIM_227255	HP_0000143,HP_0002023,HP_0000160,HP_0001194,HP_0001252,HP_0001274,HP_0002162,HP_0003196,HP_0001290,HP_0001629,HP_0002937,HP_0000316,HP_0001669,HP_0000238,HP_0000414,HP_0000637,HP_0002714,HP_0000358,HP_0000494,HP_0000431,HP_0400004,HP_0001636,HP_0001999,HP_0000007,HP_0001511,HP_0000465,HP_0000126
OMIM_265850	HP_0000818,HP_0004322,HP_0001939,HP_0000007,HP_0001426
OMIM_217990	HP_0012385,HP_0000252,HP_0000384,HP_0009473,HP_0001274,HP_0011220,HP_0000007,HP_0002007,HP_0000256,HP_0001510,HP_0001249
OMIM_115400	HP_0000924,HP_0000006
OMIM_617319	HP_0012376,HP_0009917,HP_0000518,HP_0009918,HP_0012805,HP_0000007,HP_0001083,HP_0007676,HP_0025358,HP_0001093,HP_0100693
OMIM_245600	HP_0004322,HP_0001772,HP_0000160,HP_0001252,HP_0001290,HP_0001090,HP_0011220,HP_0002616,HP_0001647,HP_0000316,HP_0000238,HP_0000878,HP_0002857,HP_0001840,HP_0001763,HP_0002974,HP_0000175,HP_0000494,HP_0000574,HP_0002750,HP_0001222,HP_0001382,HP_0004298,HP_0000691,HP_0005021,HP_0011800,HP_0003083,HP_0002827,HP_0000926,HP_0000646,HP_0000007,HP_0000768,HP_0005616,HP_0000565,HP_0001852,HP_0002987,HP_0003834,HP_0000520,HP_0000248,HP_0000369,HP_0001655,HP_0003015,HP_0008905,HP_0000343,HP_0000540,HP_0000023,HP_0002162,HP_0003051,HP_0040160,HP_0001270,HP_0012368,HP_0000939,HP_0012095,HP_0009880,HP_0008593,HP_0000938,HP_0006099,HP_0008551,HP_0001822,HP_0000337,HP_0002757,HP_0000774,HP_0000776,HP_0000974,HP_0004976,HP_0000973,HP_0000274,HP_0001363,HP_0002650,HP_0001762,HP_0001640,HP_0000592,HP_0001087,HP_0000470,HP_0005280,HP_0000308,HP_0001712,HP_0002007,HP_0001631,HP_0000465,HP_0000347,HP_0001634
OMIM_608194	HP_0000551,HP_0000608,HP_0000613,HP_0000007,HP_0007663,HP_0000505,HP_0000548,HP_0007688
OMIM_613659	HP_0410067,HP_0001428,HP_0012126
OMIM_615917	HP_0001276,HP_0000252,HP_0001321,HP_0002079,HP_0000590,HP_0012707,HP_0001263,HP_0001252,HP_0001251,HP_0003593,HP_0030682,HP_0010851,HP_0011923,HP_0002093,HP_0001639,HP_0001518,HP_0000508,HP_0000007,HP_0008347,HP_0001324,HP_0007359,HP_0003348,HP_0003128,HP_0003623
OMIM_180200	HP_0000175,HP_0007902,HP_0009919,HP_0011531,HP_0010799,HP_0012254,HP_0001909,HP_0002669,HP_0007862,HP_0001428,HP_0003745,HP_0000006,HP_0002665,HP_0000555
OMIM_190500	HP_0001199,HP_0009606,HP_0000006
OMIM_617606	HP_0003676,HP_0000407,HP_0011462,HP_0000360,HP_0000006
OMIM_614613	HP_0003577,HP_0000463,HP_0001156,HP_0002286,HP_0003196,HP_0010049,HP_0010743,HP_0000819,HP_0000717,HP_0000635,HP_0002516,HP_0000851,HP_0000752,HP_0000311,HP_0009803,HP_0001249,HP_0003502,HP_0000750,HP_0002297,HP_0001263,HP_0000272,HP_0011800,HP_0005280,HP_0010579,HP_0005616,HP_0001511,HP_0003416,HP_0000047,HP_0000028,HP_0000006,HP_0001513,HP_0000303
OMIM_605676	HP_0002224,HP_0009804,HP_0031319,HP_0000969,HP_0100759,HP_0100613,HP_0001635,HP_0000007,HP_0011421,HP_0000982,HP_0004756,HP_0001644
OMIM_615516	HP_0010529,HP_0000486,HP_0000189,HP_0000750,HP_0031936,HP_0001250,HP_0002373,HP_0001263,HP_0003593,HP_0001290,HP_0031987,HP_0100023,HP_0000718,HP_0000729,HP_0000635,HP_0000007,HP_0002317,HP_0001319,HP_0001852,HP_0001357,HP_0000752,HP_0000303,HP_0001249,HP_0000742
OMIM_108650	HP_0002497,HP_0003487,HP_0007728,HP_0000639,HP_0001260,HP_0002075,HP_0000549,HP_0000648,HP_0000006,HP_0001347
OMIM_612269	HP_0002121,HP_0003829,HP_0000006
OMIM_256030	HP_0003555,HP_0002540,HP_0030059,HP_0001371,HP_0000160,HP_0003593,HP_0012548,HP_0003393,HP_0012036,HP_0003707,HP_0000316,HP_0009027,HP_0003307,HP_0003701,HP_0003306,HP_0000478,HP_0001265,HP_0001188,HP_0003202,HP_0003324,HP_0003445,HP_0000175,HP_0011968,HP_0001260,HP_0000007,HP_0002747,HP_0001533,HP_0003798,HP_0000369,HP_0002104,HP_0003557,HP_0000343,HP_0003376,HP_0003690,HP_0001270,HP_0030319,HP_0001547,HP_0003805,HP_0002515,HP_0003803,HP_0000218,HP_0002359,HP_0003722,HP_0002058,HP_0001561,HP_0002015,HP_0001883,HP_0002650,HP_0003388,HP_0001288,HP_0001283,HP_0001284,HP_0008180,HP_0002803,HP_0001558,HP_0002804,HP_0001319,HP_0003810,HP_0003458
OMIM_616922	HP_0001300,HP_0003680,HP_0002072,HP_0010994,HP_0001268,HP_0000006,HP_0001249
OMIM_610099	HP_0001760,HP_0002312,HP_0003376,HP_0003693,HP_0003694,HP_0002460,HP_0003560,HP_0001171,HP_0008180,HP_0009473,HP_0003805,HP_0000006,HP_0003677,HP_0003458
OMIM_615482	HP_0012265,HP_0001696,HP_0001651,HP_0002110,HP_0012263,HP_0003593,HP_0000789,HP_0000007,HP_0006510,HP_0000246,HP_0002205,HP_0011108
OMIM_613229	HP_0012167,HP_0001596,HP_0000722,HP_0001426,HP_0000006
OMIM_618189	HP_0003819,HP_0011463,HP_0001252,HP_0002151,HP_0003593,HP_0000007,HP_0002092,HP_0012664,HP_0001522,HP_0001644,HP_0003623
OMIM_615327	HP_0009719,HP_0045059,HP_0007588,HP_0007502,HP_0000006
OMIM_122850	HP_0000275,HP_0001629,HP_0001642,HP_0000006,HP_0005922,HP_0005679
OMIM_618267	HP_0002860,HP_0002671,HP_0010610,HP_0025092,HP_0000007
OMIM_600116	HP_0003621,HP_0002059,HP_0002067,HP_0001300,HP_0003596,HP_0001332,HP_0001288,HP_0002063,HP_0002172,HP_0011960,HP_0011462,HP_0000007,HP_0001337,HP_0001347
OMIM_618158	HP_0002465,HP_0000750,HP_0000276,HP_0031936,HP_0001250,HP_0002066,HP_0000490,HP_0001263,HP_0002020,HP_0030891,HP_0003593,HP_0010863,HP_0012448,HP_0001290,HP_0001270,HP_0005490,HP_0010864,HP_0008551,HP_0001988,HP_0020045,HP_0000337,HP_0002317,HP_0002007,HP_0000006
OMIM_614164	HP_0020082,HP_0004863,HP_0003265,HP_0000007
OMIM_618371	HP_0004325,HP_0000164,HP_0002389,HP_0000160,HP_0001054,HP_0002020,HP_0004482,HP_0002938,HP_0001845,HP_0000678,HP_0100807,HP_0000879,HP_0001643,HP_0006237,HP_0001249,HP_0000297,HP_0000252,HP_0002870,HP_0002079,HP_0002750,HP_0001260,HP_0000691,HP_0001263,HP_0001182,HP_0001181,HP_0000729,HP_0000767,HP_0100818,HP_0000689,HP_0001659,HP_0000768,HP_0000405,HP_0002307,HP_0005659,HP_0000369,HP_0000248,HP_0000006,HP_0000687,HP_0005274,HP_0001508,HP_0012450,HP_0008551,HP_0008872,HP_0000337,HP_0001704,HP_0000219,HP_0000218,HP_0030084,HP_0000774,HP_0000473,HP_0008936,HP_0001320,HP_0001561,HP_0000276,HP_0001761,HP_0000272,HP_0045025,HP_0000629,HP_0002209,HP_0001511,HP_0002007,HP_0001357,HP_0002205,HP_0200055,HP_0001631,HP_0007018,HP_0001634,HP_0000303
OMIM_613710	HP_0002355,HP_0001265,HP_0001254,HP_0003477,HP_0003202,HP_0003621,HP_0001762,HP_0005750,HP_0002460,HP_0002490,HP_0003470,HP_0011463,HP_0000007,HP_0002936,HP_0001324
OMIM_226200	HP_0002014,HP_0001508,HP_0007609,HP_0003075,HP_0000007
OMIM_273250	HP_0012870,HP_0008197,HP_0011969,HP_0100779,HP_0000151,HP_0008232,HP_0040171,HP_0000812,HP_0031103,HP_0008723,HP_0000006,HP_0000786
OMIM_611771	HP_0100820,HP_0012574,HP_0000083,HP_0000093
OMIM_600166	HP_0008200,HP_0000006
OMIM_620104	HP_0000705,HP_0006297,HP_0000006
OMIM_601072	HP_0003577,HP_0000407,HP_0011463,HP_0000007
OMIM_617023	HP_0003621,HP_0007737,HP_0000662,HP_0000980,HP_0031790,HP_0000007,HP_0007994,HP_0000510,HP_0007843,HP_0000545
OMIM_603463	HP_0000232,HP_0004322,HP_0002690,HP_0000272,HP_0004492,HP_0011800,HP_0012471,HP_0011120,HP_0000316,HP_0000007,HP_0000689,HP_0000636,HP_0000768,HP_0000047,HP_0000410,HP_0000303
OMIM_614887	HP_0005469,HP_0001396,HP_0001476,HP_0001250,HP_0011968,HP_0001252,HP_0002240,HP_0001290,HP_0001999,HP_0000239,HP_0000007,HP_0000348,HP_0000422,HP_0000268,HP_0002269,HP_0000325,HP_0000952,HP_0000347,HP_0000478
OMIM_268010	HP_0000407,HP_0003241,HP_0008035,HP_0000618,HP_0000007,HP_0000510
OMIM_273000	HP_0000164,HP_0000007
OMIM_616705	HP_0000407,HP_0000007
OMIM_300845	HP_0000343,HP_0004322,HP_0001250,HP_0011834,HP_0000815,HP_0000518,HP_0000316,HP_0008734,HP_0001500,HP_0002216,HP_0000278,HP_0005922,HP_0009803,HP_0001644,HP_0001342,HP_0000271,HP_0000490,HP_0001263,HP_0100659,HP_0001419,HP_0000508,HP_0001999,HP_0000824,HP_0200055,HP_0001711,HP_0000369,HP_0002401,HP_0000027,HP_0000445
OMIM_600209	HP_0002762,HP_0000006
OMIM_616287	HP_0001371,HP_0001252,HP_0001284,HP_0200136,HP_0001290,HP_0001349,HP_0002804,HP_0000007
OMIM_612198	HP_0001540,HP_0009023,HP_0002019,HP_0000006
OMIM_119800	HP_0003577,HP_0000494,HP_0001762,HP_0004322,HP_0002079,HP_0003065,HP_0002280,HP_0005280,HP_0009099,HP_0003829,HP_0010691,HP_0003826,HP_0000316,HP_0009556,HP_0001841,HP_0009756,HP_0000006,HP_0000369,HP_0001776
OMIM_616579	HP_0000286,HP_0003577,HP_0010804,HP_0000582,HP_0000486,HP_0002188,HP_0000540,HP_0002066,HP_0001252,HP_0002020,HP_0003593,HP_0001270,HP_0012444,HP_0000733,HP_0000219,HP_0000218,HP_0002558,HP_0001249,HP_0007328,HP_0003623,HP_0000297,HP_0001540,HP_0002311,HP_0000252,HP_0001344,HP_0002870,HP_0000750,HP_0000232,HP_0000276,HP_0031936,HP_0011968,HP_0001382,HP_0000194,HP_0001260,HP_0001263,HP_0100025,HP_0001537,HP_0000307,HP_0002307,HP_0002205,HP_0001357,HP_0000322,HP_0000006,HP_0000369
OMIM_608636	HP_0002353,HP_0000750,HP_0001250,HP_0003144,HP_0011463,HP_0003829,HP_0000728,HP_0000723,HP_0000733,HP_0001426,HP_0000758,HP_0003745,HP_0000721,HP_0001249,HP_0000732,HP_0000006
OMIM_619436	HP_0012265,HP_0000365,HP_0002110,HP_0032341,HP_0032342,HP_0000007,HP_0000403,HP_0012207,HP_0006532,HP_0011108
OMIM_613267	HP_0000969,HP_0000006
OMIM_224550	HP_0003621,HP_0000750,HP_0001288,HP_0001332,HP_0011463,HP_0002072,HP_0000007,HP_0003307,HP_0001347
OMIM_618004	HP_0000286,HP_0002540,HP_0001332,HP_0002120,HP_0001250,HP_0012448,HP_0001290,HP_0000319,HP_0003828,HP_0002119,HP_0000219,HP_0001269,HP_0001249,HP_0000252,HP_0002133,HP_0001344,HP_0001321,HP_0002376,HP_0002079,HP_0001263,HP_0002072,HP_0005280,HP_0002509,HP_0001999,HP_0000400,HP_0000347,HP_0000006
OMIM_141749	HP_0011904,HP_0000006
OMIM_133701	HP_0002762,HP_0003621,HP_0003068,HP_0004322,HP_0003276,HP_0003593,HP_0010049,HP_0000918,HP_0011463,HP_0002812,HP_0003406,HP_0002318,HP_0002857,HP_0006765,HP_0000006,HP_0003105,HP_0000896
OMIM_600919	HP_0005110,HP_0001657,HP_0001279,HP_0001645,HP_0000006,HP_0001688
OMIM_136520	HP_0006934,HP_0007819,HP_0007750,HP_0000505,HP_0000006
OMIM_608115	HP_0001541,HP_0000119,HP_0002018,HP_0000006,HP_0002027
OMIM_312080	HP_0004886,HP_0002540,HP_0000365,HP_0004322,HP_0001332,HP_0001250,HP_0001252,HP_0003593,HP_0001251,HP_0033725,HP_0000639,HP_0000716,HP_0003429,HP_0007325,HP_0001249,HP_0000511,HP_0001265,HP_0002356,HP_0001583,HP_0000252,HP_0000012,HP_0001266,HP_0001260,HP_0001263,HP_0011400,HP_0001419,HP_0000648,HP_0001258,HP_0001337,HP_0003677,HP_0002168,HP_0002283,HP_0002361,HP_0002080,HP_0100543,HP_0001508,HP_0007266,HP_0001268,HP_0100709,HP_0002478,HP_0002599,HP_0006855,HP_0003269,HP_0002015,HP_0002136,HP_0002650,HP_0000750,HP_0007256,HP_0000741
OMIM_613827	HP_0000608,HP_0000505,HP_0000510,HP_0000006
OMIM_618659	HP_0000286,HP_0000483,HP_0002188,HP_0000365,HP_0001250,HP_0002263,HP_0000160,HP_0001252,HP_0003593,HP_0009381,HP_0000319,HP_0010055,HP_0000718,HP_0000316,HP_0100807,HP_0001643,HP_0002019,HP_0001249,HP_0000297,HP_0000494,HP_0002079,HP_0001382,HP_0001263,HP_0004691,HP_0011800,HP_0001182,HP_0012585,HP_0000729,HP_0000646,HP_0000767,HP_0000047,HP_0000006,HP_0000369,HP_0000582,HP_0000343,HP_0001156,HP_0001272,HP_0001270,HP_0008872,HP_0001822,HP_0002119,HP_0009765,HP_0009921,HP_0009904,HP_0000154,HP_0002059,HP_0000076,HP_0000431,HP_0002650,HP_0000750,HP_0032388,HP_0010579,HP_0000508,HP_0000426,HP_0001510,HP_0007018,HP_0000501,HP_0000028,HP_0000589,HP_0000347,HP_0001831
OMIM_612653	HP_0005502,HP_0004444,HP_0002904,HP_0001878,HP_0001923,HP_0000006,HP_0000952,HP_0001744
OMIM_617839	HP_0002015,HP_0003596,HP_0002398,HP_0000726,HP_0003584,HP_0007354,HP_0000006
OMIM_250400	HP_0003016,HP_0003498,HP_0006409,HP_0005871,HP_0006385,HP_0000007,HP_0001270,HP_0002515,HP_0002857,HP_0004979,HP_0100255,HP_0000234
OMIM_243000	HP_0001265,HP_0003577,HP_0003401,HP_0002661,HP_0000970,HP_0000020,HP_0010829,HP_0010830,HP_0010831,HP_0012332,HP_0007021,HP_0000007,HP_0000458,HP_0004409,HP_0000966,HP_0040129,HP_0001249
OMIM_616546	HP_0002323,HP_0002983,HP_0002089,HP_0000480,HP_0001290,HP_0000238,HP_0002419,HP_0001789,HP_0000774,HP_0000773,HP_0000377,HP_0000776,HP_0001320,HP_0001265,HP_0000054,HP_0000175,HP_0001561,HP_0000470,HP_0005280,HP_0100259,HP_0100258,HP_0006660,HP_0000007,HP_0001631,HP_0000369,HP_0002126
OMIM_239850	HP_0000286,HP_0003016,HP_0000343,HP_0001256,HP_0000463,HP_0010109,HP_0004540,HP_0000280,HP_0010068,HP_0000939,HP_0010055,HP_0011220,HP_0001647,HP_0007665,HP_0000774,HP_0001643,HP_0000179,HP_0000212,HP_0000256,HP_0001004,HP_0000215,HP_0004634,HP_0004975,HP_0005129,HP_0001520,HP_0005445,HP_0000431,HP_0001640,HP_0002673,HP_0002750,HP_0003300,HP_0002690,HP_0000470,HP_0005280,HP_0000926,HP_0001537,HP_0000527,HP_0001698,HP_0008822,HP_0000006
OMIM_616902	HP_0002463,HP_0000750,HP_0001250,HP_0001263,HP_0000717,HP_0003829,HP_0000526,HP_0000006,HP_0001249
OMIM_614508	HP_0003829,HP_0001335,HP_0000006
OMIM_311070	HP_0000365,HP_0001288,HP_0001761,HP_0003693,HP_0001271,HP_0003383,HP_0002460,HP_0003481,HP_0001270,HP_0032460,HP_0000529,HP_0011463,HP_0000407,HP_0001419,HP_0003828,HP_0002936,HP_0000648,HP_0000510,HP_0002522
OMIM_263700	HP_0002223,HP_0003577,HP_0001596,HP_0004322,HP_0001010,HP_0002240,HP_0011457,HP_0001072,HP_0033009,HP_0030756,HP_0100324,HP_0000938,HP_0032001,HP_0000998,HP_0000953,HP_0000559,HP_0002953,HP_0002756,HP_0002797,HP_0001744,HP_0000952,HP_0040318,HP_0000992,HP_0001081,HP_0009473,HP_0000509,HP_0000987,HP_0001878,HP_0000007,HP_0001873
OMIM_619060	HP_0002421,HP_0011917,HP_0004325,HP_0002521,HP_0004322,HP_0001272,HP_0001290,HP_0008093,HP_0007083,HP_0001508,HP_0001885,HP_0002059,HP_0005643,HP_0002750,HP_0002376,HP_0003221,HP_0002151,HP_0002490,HP_0011097,HP_0000426,HP_0000007,HP_0008347,HP_0009237,HP_0002007,HP_0001336
OMIM_615577	HP_0005215,HP_0007418,HP_0002021,HP_0011734,HP_0012203,HP_0031074,HP_0011463,HP_0001943,HP_0006532,HP_0003765,HP_0410028,HP_0004315,HP_0002850,HP_0025379,HP_0002099,HP_0005387,HP_0001263,HP_0032069,HP_0030804,HP_0011108,HP_0007099,HP_0033166,HP_0000403,HP_0000824,HP_0000006,HP_0002720
OMIM_185000	HP_0004446,HP_0005502,HP_0003575,HP_0002904,HP_0002240,HP_0001878,HP_0001923,HP_0000006,HP_0000952,HP_0001744
OMIM_618019	HP_0003015,HP_0003577,HP_0001377,HP_0008905,HP_0002980,HP_0001156,HP_0005257,HP_0001252,HP_0001373,HP_0004482,HP_0005692,HP_0010047,HP_0100255,HP_0100864,HP_0010055,HP_0008873,HP_0003307,HP_0002857,HP_0006610,HP_0003502,HP_0003865,HP_0002677,HP_0003026,HP_0009826,HP_0003025,HP_0003300,HP_0031936,HP_0003021,HP_0003186,HP_0002691,HP_0004592,HP_0011800,HP_0005280,HP_0011447,HP_0012385,HP_0006380,HP_0010044,HP_0002808,HP_0000926,HP_0000888,HP_0000007,HP_0005619,HP_0002944,HP_0001538,HP_0002986,HP_0007413,HP_0002007
OMIM_619161	HP_0033660,HP_0012185,HP_0033673,HP_0033672,HP_0003393,HP_0046505,HP_0000006
OMIM_300106	HP_0006009,HP_0001377,HP_0001773,HP_0001156,HP_0003311,HP_0003275,HP_0004981,HP_0001230,HP_0004000,HP_0010049,HP_0006371,HP_0010230,HP_0002938,HP_0009486,HP_0006059,HP_0003988,HP_0000894,HP_0009803,HP_0003521,HP_0003026,HP_0005622,HP_0004279,HP_0002673,HP_0003025,HP_0002651,HP_0004573,HP_0005066,HP_0003085,HP_0003180,HP_0011940,HP_0002808,HP_0001419,HP_0000926,HP_0002869,HP_0000327,HP_0000768,HP_0000922,HP_0001216
OMIM_273900	HP_0000007,HP_0000967,HP_0001873,HP_0000421,HP_0005537
OMIM_619256	HP_0100512,HP_0008282,HP_0000938,HP_0000007,HP_0012202,HP_0006579,HP_0003623
OMIM_265900	HP_0000670,HP_0003016,HP_0003621,HP_0000684,HP_0001377,HP_0002650,HP_0002684,HP_0003581,HP_0100255,HP_0002829,HP_0011463,HP_0000926,HP_0000007,HP_0002738,HP_0002967,HP_0002857,HP_0002689,HP_0001324,HP_0006335,HP_0000765,HP_0000303,HP_0004349,HP_0002753
